ID	Gene Name	Species	REACTOME_PATHWAY
YY1	YY1 transcription factor(YY1)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-162582~Signal Transduction,R-HSA-212436~Generic Transcription Pathway,R-HSA-392499~Metabolism of proteins,R-HSA-5617472~Activation of anterior HOX genes in hindbrain development during early embryogenesis,R-HSA-5619507~Activation of HOX genes during differentiation,R-HSA-5688426~Deubiquitination,R-HSA-5689603~UCH proteinases,R-HSA-5696394~DNA Damage Recognition in GG-NER,R-HSA-5696398~Nucleotide Excision Repair,R-HSA-5696399~Global Genome Nucleotide Excision Repair (GG-NER),R-HSA-597592~Post-translational protein modification,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-73894~DNA Repair,R-HSA-74160~Gene expression (Transcription),R-HSA-8864260~Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,R-HSA-8866910~TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,R-HSA-8939211~ESR-mediated signaling,R-HSA-9006931~Signaling by Nuclear Receptors,R-HSA-9018519~Estrogen-dependent gene expression,
ABHD17A	abhydrolase domain containing 17A, depalmitoylase(ABHD17A)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-5673001~RAF/MAP kinase cascade,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5684996~MAPK1/MAPK3 signaling,R-HSA-9648002~RAS processing,
ACAA1	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-2046104~alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,R-HSA-2046106~alpha-linolenic acid (ALA) metabolism,R-HSA-390247~Beta-oxidation of very long chain fatty acids,R-HSA-390918~Peroxisomal lipid metabolism,R-HSA-556833~Metabolism of lipids,R-HSA-6798695~Neutrophil degranulation,R-HSA-8978868~Fatty acid metabolism,R-HSA-9033241~Peroxisomal protein import,R-HSA-9033500~TYSND1 cleaves peroxisomal proteins,R-HSA-9609507~Protein localization,
ACTG1	actin gamma 1(ACTG1)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-1445148~Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1500931~Cell-Cell communication,R-HSA-157858~Gap junction trafficking and regulation,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-190828~Gap junction trafficking,R-HSA-190873~Gap junction degradation,R-HSA-194138~Signaling by VEGF,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-196025~Formation of annular gap junctions,R-HSA-199991~Membrane Trafficking,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-373760~L1CAM interactions,R-HSA-3928662~EPHB-mediated forward signaling,R-HSA-3928665~EPH-ephrin mediated repulsion of cells,R-HSA-418990~Adherens junctions interactions,R-HSA-421270~Cell-cell junction organization,R-HSA-422475~Axon guidance,R-HSA-437239~Recycling pathway of L1,R-HSA-4420097~VEGFA-VEGFR2 Pathway,R-HSA-445095~Interaction between L1 and Ankyrins,R-HSA-446353~Cell-extracellular matrix interactions,R-HSA-446728~Cell junction organization,R-HSA-5626467~RHO GTPases activate IQGAPs,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-5663205~Infectious disease,R-HSA-5663213~RHO GTPases Activate WASPs and WAVEs,R-HSA-5663220~RHO GTPases Activate Formins,R-HSA-5673001~RAF/MAP kinase cascade,R-HSA-5674135~MAP2K and MAPK activation,R-HSA-5683057~MAPK family signaling cascades,R-HSA-5684996~MAPK1/MAPK3 signaling,R-HSA-6802946~Signaling by moderate kinase activity BRAF mutants,R-HSA-6802948~Signaling by high-kinase activity BRAF mutants,R-HSA-6802949~Signaling by RAS mutants,R-HSA-6802952~Signaling by BRAF and RAF1 fusions,R-HSA-6802955~Paradoxical activation of RAF signaling by kinase inactive BRAF,R-HSA-6802957~Oncogenic MAPK signaling,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9012999~RHO GTPase cycle,R-HSA-9013418~RHOBTB2 GTPase cycle,R-HSA-9649948~Signaling downstream of RAS mutants,R-HSA-9656223~Signaling by RAF1 mutants,R-HSA-9658195~Leishmania infection,R-HSA-9659379~Sensory processing of sound,R-HSA-9662360~Sensory processing of sound by inner hair cells of the cochlea,R-HSA-9662361~Sensory processing of sound by outer hair cells of the cochlea,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9675108~Nervous system development,R-HSA-9706574~RHOBTB GTPase Cycle,R-HSA-9709957~Sensory Perception,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824443~Parasitic Infection Pathways,
ACTR1B	actin related protein 1B(ACTR1B)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-2132295~MHC class II antigen presentation,R-HSA-6798695~Neutrophil degranulation,
ACTR2	actin related protein 2(ACTR2)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-199991~Membrane Trafficking,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-3928662~EPHB-mediated forward signaling,R-HSA-422475~Axon guidance,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-5663213~RHO GTPases Activate WASPs and WAVEs,R-HSA-6798695~Neutrophil degranulation,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-9658195~Leishmania infection,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9675108~Nervous system development,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824443~Parasitic Infection Pathways,
ARPC1B	actin related protein 2/3 complex subunit 1B(ARPC1B)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-3928662~EPHB-mediated forward signaling,R-HSA-422475~Axon guidance,R-HSA-5663205~Infectious disease,R-HSA-5663213~RHO GTPases Activate WASPs and WAVEs,R-HSA-9658195~Leishmania infection,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9675108~Nervous system development,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824443~Parasitic Infection Pathways,
ARPC2	actin related protein 2/3 complex subunit 2(ARPC2)	Homo sapiens	R-HSA-1266738~Developmental Biology,R-HSA-162582~Signal Transduction,R-HSA-1643685~Disease,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-194315~Signaling by Rho GTPases,R-HSA-195258~RHO GTPase Effectors,R-HSA-199991~Membrane Trafficking,R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-3928662~EPHB-mediated forward signaling,R-HSA-422475~Axon guidance,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-5663213~RHO GTPases Activate WASPs and WAVEs,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-9658195~Leishmania infection,R-HSA-9664407~Parasite infection,R-HSA-9664417~Leishmania phagocytosis,R-HSA-9664422~FCGR3A-mediated phagocytosis,R-HSA-9675108~Nervous system development,R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3,R-HSA-9824443~Parasitic Infection Pathways,
ACADVL	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-2262752~Cellular responses to stress,R-HSA-381038~XBP1(S) activates chaperone genes,R-HSA-381070~IRE1alpha activates chaperones,R-HSA-381119~Unfolded Protein Response (UPR),R-HSA-556833~Metabolism of lipids,R-HSA-77286~mitochondrial fatty acid beta-oxidation of saturated fatty acids,R-HSA-77289~Mitochondrial Fatty Acid Beta-Oxidation,R-HSA-77305~Beta oxidation of palmitoyl-CoA to myristoyl-CoA,R-HSA-8953897~Cellular responses to stimuli,R-HSA-8978868~Fatty acid metabolism,
AP1G2	adaptor related protein complex 1 subunit gamma 2(AP1G2)	Homo sapiens	R-HSA-199991~Membrane Trafficking,R-HSA-199992~trans-Golgi Network Vesicle Budding,R-HSA-432720~Lysosome Vesicle Biogenesis,R-HSA-5653656~Vesicle-mediated transport,
AP2B1	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens	R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-1266738~Developmental Biology,R-HSA-1280218~Adaptive Immune System,R-HSA-162582~Signal Transduction,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1643685~Disease,R-HSA-164938~Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,R-HSA-164952~The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-166520~Signaling by NTRKs,R-HSA-167590~Nef Mediated CD4 Down-regulation,R-HSA-168256~Immune System,R-HSA-174824~Plasma lipoprotein assembly, remodeling, and clearance,R-HSA-177504~Retrograde neurotrophin signalling,R-HSA-182218~Nef Mediated CD8 Down-regulation,R-HSA-187037~Signaling by NTRK1 (TRKA),R-HSA-195721~Signaling by WNT,R-HSA-199991~Membrane Trafficking,R-HSA-2132295~MHC class II antigen presentation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-373760~L1CAM interactions,R-HSA-382551~Transport of small molecules,R-HSA-3858494~Beta-catenin independent WNT signaling,R-HSA-3928665~EPH-ephrin mediated repulsion of cells,R-HSA-399719~Trafficking of AMPA receptors,R-HSA-399721~Glutamate binding, activation of AMPA receptors and synaptic plasticity,R-HSA-4086400~PCP/CE pathway,R-HSA-416993~Trafficking of GluR2-containing AMPA receptors,R-HSA-422475~Axon guidance,R-HSA-437239~Recycling pathway of L1,R-HSA-5099900~WNT5A-dependent internalization of FZD4,R-HSA-5140745~WNT5A-dependent internalization of FZD2, FZD5 and ROR2,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8866427~VLDLR internalisation and degradation,R-HSA-8964038~LDL clearance,R-HSA-8964043~Plasma lipoprotein clearance,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9675108~Nervous system development,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9824446~Viral Infection Pathways,
AP2M1	adaptor related protein complex 2 subunit mu 1(AP2M1)	Homo sapiens	R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-1266738~Developmental Biology,R-HSA-1280218~Adaptive Immune System,R-HSA-157858~Gap junction trafficking and regulation,R-HSA-162582~Signal Transduction,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1643685~Disease,R-HSA-164938~Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,R-HSA-164939~Nef mediated downregulation of CD28 cell surface expression,R-HSA-164952~The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-166520~Signaling by NTRKs,R-HSA-167590~Nef Mediated CD4 Down-regulation,R-HSA-168256~Immune System,R-HSA-174824~Plasma lipoprotein assembly, remodeling, and clearance,R-HSA-177504~Retrograde neurotrophin signalling,R-HSA-182218~Nef Mediated CD8 Down-regulation,R-HSA-187037~Signaling by NTRK1 (TRKA),R-HSA-190828~Gap junction trafficking,R-HSA-190873~Gap junction degradation,R-HSA-195721~Signaling by WNT,R-HSA-196025~Formation of annular gap junctions,R-HSA-199991~Membrane Trafficking,R-HSA-2132295~MHC class II antigen presentation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-373760~L1CAM interactions,R-HSA-382551~Transport of small molecules,R-HSA-3858494~Beta-catenin independent WNT signaling,R-HSA-3928665~EPH-ephrin mediated repulsion of cells,R-HSA-399719~Trafficking of AMPA receptors,R-HSA-399721~Glutamate binding, activation of AMPA receptors and synaptic plasticity,R-HSA-4086400~PCP/CE pathway,R-HSA-416993~Trafficking of GluR2-containing AMPA receptors,R-HSA-422475~Axon guidance,R-HSA-437239~Recycling pathway of L1,R-HSA-5099900~WNT5A-dependent internalization of FZD4,R-HSA-5140745~WNT5A-dependent internalization of FZD2, FZD5 and ROR2,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8866427~VLDLR internalisation and degradation,R-HSA-8964038~LDL clearance,R-HSA-8964043~Plasma lipoprotein clearance,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9675108~Nervous system development,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9824446~Viral Infection Pathways,
AP2S1	adaptor related protein complex 2 subunit sigma 1(AP2S1)	Homo sapiens	R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission,R-HSA-112315~Transmission across Chemical Synapses,R-HSA-112316~Neuronal System,R-HSA-1266738~Developmental Biology,R-HSA-1280218~Adaptive Immune System,R-HSA-162582~Signal Transduction,R-HSA-162906~HIV Infection,R-HSA-162909~Host Interactions of HIV factors,R-HSA-1643685~Disease,R-HSA-164938~Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,R-HSA-164952~The role of Nef in HIV-1 replication and disease pathogenesis,R-HSA-166520~Signaling by NTRKs,R-HSA-167590~Nef Mediated CD4 Down-regulation,R-HSA-168256~Immune System,R-HSA-174824~Plasma lipoprotein assembly, remodeling, and clearance,R-HSA-177504~Retrograde neurotrophin signalling,R-HSA-182218~Nef Mediated CD8 Down-regulation,R-HSA-187037~Signaling by NTRK1 (TRKA),R-HSA-195721~Signaling by WNT,R-HSA-199991~Membrane Trafficking,R-HSA-2132295~MHC class II antigen presentation,R-HSA-2682334~EPH-Ephrin signaling,R-HSA-373760~L1CAM interactions,R-HSA-382551~Transport of small molecules,R-HSA-3858494~Beta-catenin independent WNT signaling,R-HSA-3928665~EPH-ephrin mediated repulsion of cells,R-HSA-399719~Trafficking of AMPA receptors,R-HSA-399721~Glutamate binding, activation of AMPA receptors and synaptic plasticity,R-HSA-4086400~PCP/CE pathway,R-HSA-416993~Trafficking of GluR2-containing AMPA receptors,R-HSA-422475~Axon guidance,R-HSA-437239~Recycling pathway of L1,R-HSA-5099900~WNT5A-dependent internalization of FZD4,R-HSA-5140745~WNT5A-dependent internalization of FZD2, FZD5 and ROR2,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663205~Infectious disease,R-HSA-8856825~Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856828~Clathrin-mediated endocytosis,R-HSA-8866427~VLDLR internalisation and degradation,R-HSA-8964038~LDL clearance,R-HSA-8964043~Plasma lipoprotein clearance,R-HSA-9006934~Signaling by Receptor Tyrosine Kinases,R-HSA-9675108~Nervous system development,R-HSA-9679191~Potential therapeutics for SARS,R-HSA-9679506~SARS-CoV Infections,R-HSA-9824446~Viral Infection Pathways,
AP3B1	adaptor related protein complex 3 subunit beta 1(AP3B1)	Homo sapiens	R-HSA-1643685~Disease,R-HSA-199991~Membrane Trafficking,R-HSA-199992~trans-Golgi Network Vesicle Budding,R-HSA-432722~Golgi Associated Vesicle Biogenesis,R-HSA-5653656~Vesicle-mediated transport,R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-6802952~Signaling by BRAF and RAF1 fusions,R-HSA-6802957~Oncogenic MAPK signaling,
AP3S1	adaptor related protein complex 3 subunit sigma 1(AP3S1)	Homo sapiens	R-HSA-199991~Membrane Trafficking,R-HSA-199992~trans-Golgi Network Vesicle Budding,R-HSA-432722~Golgi Associated Vesicle Biogenesis,R-HSA-5653656~Vesicle-mediated transport,
ADD1	adducin 1(ADD1)	Homo sapiens	R-HSA-109581~Apoptosis,R-HSA-111465~Apoptotic cleavage of cellular proteins,R-HSA-2262752~Cellular responses to stress,R-HSA-264870~Caspase-mediated cleavage of cytoskeletal proteins,R-HSA-381038~XBP1(S) activates chaperone genes,R-HSA-381070~IRE1alpha activates chaperones,R-HSA-381119~Unfolded Protein Response (UPR),R-HSA-382551~Transport of small molecules,R-HSA-5223345~Miscellaneous transport and binding events,R-HSA-5357801~Programmed Cell Death,R-HSA-75153~Apoptotic execution phase,R-HSA-8953897~Cellular responses to stimuli,
ADK	adenosine kinase(ADK)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-74217~Purine salvage,R-HSA-8956321~Nucleotide salvage,R-HSA-9748784~Drug ADME,R-HSA-9755088~Ribavirin ADME,
ADSL	adenylosuccinate lyase(ADSL)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-15869~Metabolism of nucleotides,R-HSA-73817~Purine ribonucleoside monophosphate biosynthesis,R-HSA-8956320~Nucleotide biosynthesis,
ADGRE5	adhesion G protein-coupled receptor E5(ADGRE5)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-168249~Innate Immune System,R-HSA-168256~Immune System,R-HSA-372790~Signaling by GPCR,R-HSA-373080~Class B/2 (Secretin family receptors),R-HSA-500792~GPCR ligand binding,R-HSA-6798695~Neutrophil degranulation,
MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A(MGAT4A)	Homo sapiens	R-HSA-1643685~Disease,R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-392499~Metabolism of proteins,R-HSA-446203~Asparagine N-linked glycosylation,R-HSA-5663205~Infectious disease,R-HSA-597592~Post-translational protein modification,R-HSA-8957275~Post-translational protein phosphorylation,R-HSA-948021~Transport to the Golgi and subsequent modification,R-HSA-9679506~SARS-CoV Infections,R-HSA-9694516~SARS-CoV-2 Infection,R-HSA-9694548~Maturation of spike protein,R-HSA-9694635~Translation of Structural Proteins,R-HSA-975576~N-glycan antennae elongation in the medial/trans-Golgi,R-HSA-975577~N-Glycan antennae elongation,R-HSA-9772573~Late SARS-CoV-2 Infection Events,R-HSA-9824446~Viral Infection Pathways,
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1(AIMP1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-2408522~Selenoamino acid metabolism,R-HSA-379716~Cytosolic tRNA aminoacylation,R-HSA-379724~tRNA Aminoacylation,R-HSA-392499~Metabolism of proteins,R-HSA-71291~Metabolism of amino acids and derivatives,R-HSA-72766~Translation,
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-196849~Metabolism of water-soluble vitamins and cofactors,R-HSA-196854~Metabolism of vitamins and cofactors,R-HSA-199220~Vitamin B5 (pantothenate) metabolism,
ANAPC16	anaphase promoting complex subunit 16(ANAPC16)	Homo sapiens	R-HSA-141405~Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,R-HSA-141430~Inactivation of APC/C via direct inhibition of the APC/C complex,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-174048~APC/C:Cdc20 mediated degradation of Cyclin B,R-HSA-174084~Autodegradation of Cdh1 by Cdh1:APC/C,R-HSA-174143~APC/C-mediated degradation of cell cycle proteins,R-HSA-174154~APC/C:Cdc20 mediated degradation of Securin,R-HSA-174178~APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-HSA-174184~Cdc20:Phospho-APC/C mediated degradation of Cyclin A,R-HSA-176407~Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,R-HSA-176408~Regulation of APC/C activators between G1/S and early anaphase,R-HSA-176409~APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176412~Phosphorylation of the APC/C,R-HSA-176814~Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-179409~APC-Cdc20 mediated degradation of Nek2A,R-HSA-179419~APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-212436~Generic Transcription Pathway,R-HSA-2262752~Cellular responses to stress,R-HSA-2467813~Separation of Sister Chromatids,R-HSA-2555396~Mitotic Metaphase and Anaphase,R-HSA-2559582~Senescence-Associated Secretory Phenotype (SASP),R-HSA-2559583~Cellular Senescence,R-HSA-453276~Regulation of mitotic cell cycle,R-HSA-68867~Assembly of the pre-replicative complex,R-HSA-68882~Mitotic Anaphase,R-HSA-68886~M Phase,R-HSA-69002~DNA Replication Pre-Initiation,R-HSA-69017~CDK-mediated phosphorylation and removal of Cdc6,R-HSA-69052~Switching of origins to a post-replicative state,R-HSA-69239~Synthesis of DNA,R-HSA-69242~S Phase,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-69306~DNA Replication,R-HSA-69618~Mitotic Spindle Checkpoint,R-HSA-69620~Cell Cycle Checkpoints,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8853884~Transcriptional Regulation by VENTX,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9675126~Diseases of mitotic cell cycle,R-HSA-9687136~Aberrant regulation of mitotic exit in cancer due to RB1 defects,R-HSA-9687139~Aberrant regulation of mitotic cell cycle due to RB1 defects,
ANAPC5	anaphase promoting complex subunit 5(ANAPC5)	Homo sapiens	R-HSA-1280218~Adaptive Immune System,R-HSA-141405~Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,R-HSA-141430~Inactivation of APC/C via direct inhibition of the APC/C complex,R-HSA-1640170~Cell Cycle,R-HSA-1643685~Disease,R-HSA-168256~Immune System,R-HSA-174048~APC/C:Cdc20 mediated degradation of Cyclin B,R-HSA-174084~Autodegradation of Cdh1 by Cdh1:APC/C,R-HSA-174143~APC/C-mediated degradation of cell cycle proteins,R-HSA-174154~APC/C:Cdc20 mediated degradation of Securin,R-HSA-174178~APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-HSA-174184~Cdc20:Phospho-APC/C mediated degradation of Cyclin A,R-HSA-176407~Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,R-HSA-176408~Regulation of APC/C activators between G1/S and early anaphase,R-HSA-176409~APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176412~Phosphorylation of the APC/C,R-HSA-176814~Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-179409~APC-Cdc20 mediated degradation of Nek2A,R-HSA-179419~APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-212436~Generic Transcription Pathway,R-HSA-2262752~Cellular responses to stress,R-HSA-2467813~Separation of Sister Chromatids,R-HSA-2555396~Mitotic Metaphase and Anaphase,R-HSA-2559582~Senescence-Associated Secretory Phenotype (SASP),R-HSA-2559583~Cellular Senescence,R-HSA-453276~Regulation of mitotic cell cycle,R-HSA-68867~Assembly of the pre-replicative complex,R-HSA-68882~Mitotic Anaphase,R-HSA-68886~M Phase,R-HSA-69002~DNA Replication Pre-Initiation,R-HSA-69017~CDK-mediated phosphorylation and removal of Cdc6,R-HSA-69052~Switching of origins to a post-replicative state,R-HSA-69239~Synthesis of DNA,R-HSA-69242~S Phase,R-HSA-69278~Cell Cycle, Mitotic,R-HSA-69306~DNA Replication,R-HSA-69618~Mitotic Spindle Checkpoint,R-HSA-69620~Cell Cycle Checkpoints,R-HSA-73857~RNA Polymerase II Transcription,R-HSA-74160~Gene expression (Transcription),R-HSA-8853884~Transcriptional Regulation by VENTX,R-HSA-8953897~Cellular responses to stimuli,R-HSA-9675126~Diseases of mitotic cell cycle,R-HSA-9687136~Aberrant regulation of mitotic exit in cancer due to RB1 defects,R-HSA-9687139~Aberrant regulation of mitotic cell cycle due to RB1 defects,R-HSA-983168~Antigen processing: Ubiquitination & Proteasome degradation,R-HSA-983169~Class I MHC mediated antigen processing & presentation,
ANXA1	annexin A1(ANXA1)	Homo sapiens	R-HSA-1280215~Cytokine Signaling in Immune system,R-HSA-162582~Signal Transduction,R-HSA-168256~Immune System,R-HSA-372790~Signaling by GPCR,R-HSA-373076~Class A/1 (Rhodopsin-like receptors),R-HSA-375276~Peptide ligand-binding receptors,R-HSA-388396~GPCR downstream signalling,R-HSA-397014~Muscle contraction,R-HSA-416476~G alpha (q) signalling events,R-HSA-418594~G alpha (i) signalling events,R-HSA-444473~Formyl peptide receptors bind formyl peptides and many other ligands,R-HSA-445355~Smooth Muscle Contraction,R-HSA-449147~Signaling by Interleukins,R-HSA-500792~GPCR ligand binding,R-HSA-6785807~Interleukin-4 and Interleukin-13 signaling,
ANXA5	annexin A5(ANXA5)	Homo sapiens	R-HSA-109582~Hemostasis,R-HSA-114608~Platelet degranulation ,R-HSA-76002~Platelet activation, signaling and aggregation,R-HSA-76005~Response to elevated platelet cytosolic Ca2+,
AZIN1	antizyme inhibitor 1(AZIN1)	Homo sapiens	R-HSA-1430728~Metabolism,R-HSA-350562~Regulation of ornithine decarboxylase (ODC),R-HSA-351202~Metabolism of polyamines,R-HSA-71291~Metabolism of amino acids and derivatives,
AATF	apoptosis antagonizing transcription factor(AATF)	Homo sapiens	R-HSA-162582~Signal Transduction,R-HSA-193648~NRAGE signals death through JNK,R-HSA-193704~p75 NTR receptor-mediated signalling,R-HSA-204998~Cell death signalling via NRAGE, NRIF and NADE,R-HSA-73887~Death Receptor Signaling,
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)	Homo sapiens	R-HSA-110357~Displacement of DNA glycosylase by APEX1,R-HSA-110362~POLB-Dependent Long Patch Base Excision Repair,R-HSA-110373~Resolution of AP sites via the multiple-nucleotide patch replacement pathway,R-HSA-110381~Resolution of AP sites via the single-nucleotide replacement pathway,R-HSA-5651801~PCNA-Dependent Long Patch Base Excision Repair,R-HSA-73884~Base Excision Repair,R-HSA-73894~DNA Repair,R-HSA-73930~Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,R-HSA-73933~Resolution of Abasic Sites (AP sites),
